rank,id,year,db,title,url,triage_score,triage_terms,screening_status
1,arxiv:2606.22289,2026,arxiv,Control-Aware Manipulation of ArduPilot via Legitimate MAVLink Commands: Simulation and Hardware Validation,https://arxiv.org/abs/2606.22289,8,ardupilot;failsafe;configuration;uav,UNSCREENED - keyword triage only
2,doi:10.1016/j.compeleceng.2026.111144,2026,crossref,"Flight log analysis and recovery for open-source drones: Focusing on ArduPilot, PX4, and Betaflight",https://doi.org/10.1016/j.compeleceng.2026.111144,8,px4;ardupilot;recovery,UNSCREENED - keyword triage only
3,arxiv:1905.00265,2019,arxiv,MAVSec: Securing the MAVLink Protocol for Ardupilot/PX4 Unmanned Aerial Systems,https://arxiv.org/abs/1905.00265,7,px4;ardupilot;uav,UNSCREENED - keyword triage only
4,doi:10.3846/mla.2012.66,2012,crossref,ERROR ANALYSIS OF INS ARRANGED IN ARDUPILOT MEGA / „ARDUPILOT MEGA“ AUTOPILOTO INERCINIO NAVIGACIJOS ĮRENGINIO PAKLAIDŲ ANALIZĖ,https://doi.org/10.3846/mla.2012.66,6,ardupilot;autopilot;uav,UNSCREENED - keyword triage only
5,arxiv:1811.06948,2018,arxiv,Closing the Gap in Swarm Robotics Simulations: An Extended Ardupilot/Gazebo plugin,https://arxiv.org/abs/1811.06948,6,ardupilot;autopilot;uav,UNSCREENED - keyword triage only
6,doi:10.1109/iwcmc.2019.8766667,2019,crossref,MAVSec: Securing the MAVLink Protocol for Ardupilot/PX4 Unmanned Aerial Systems,https://doi.org/10.1109/iwcmc.2019.8766667,6,px4;ardupilot,UNSCREENED - keyword triage only
7,arxiv:2512.01164,2025,arxiv,Reverse Engineering and Control-Aware Security Analysis of the ArduPilot UAV Framework,https://arxiv.org/abs/2512.01164,6,ardupilot;autopilot;uav,UNSCREENED - keyword triage only
8,doi:10.1109/cars67163.2025.11337711,2025,crossref,Security Triage of Flight-Critical ArduPilot and PX4 Modules with a Multi-LLM Ensemble,https://doi.org/10.1109/cars67163.2025.11337711,6,px4;ardupilot,UNSCREENED - keyword triage only
9,doi:10.70675/9b66bfeczccd1z4c80zaa24z60ced0bf93dd,,crossref,A generalized asynchronous method preserving the data quality of real-time embedded systems : Case of the PX4-RT autopilot,https://doi.org/10.70675/9b66bfeczccd1z4c80zaa24z60ced0bf93dd,5,px4;autopilot,UNSCREENED - keyword triage only
10,doi:10.18130/v3c33w,,crossref,University of Virginia Network Failsafe and Disaster Recovery Plans,https://doi.org/10.18130/v3c33w,5,failsafe;recovery,UNSCREENED - keyword triage only
11,doi:10.1109/sysose.2011.5966615,2011,crossref,Fuzzy logic controlled UAV autopilot using C-Mean clustering,https://doi.org/10.1109/sysose.2011.5966615,5,fuzz;autopilot;uav,UNSCREENED - keyword triage only
12,doi:10.1109/metroaerospace.2015.7180682,2015,crossref,Safety improvement of fixed wing mini-UAV based on handy FDI current sensor and a FailSafe configuration of control surface actuators,https://doi.org/10.1109/metroaerospace.2015.7180682,5,failsafe;configuration;uav,UNSCREENED - keyword triage only
13,doi:10.14801/jkiit.2023.21.7.23,2023,crossref,Development of a PX4-based Control Algorithm for Differential-Drive Robot Autopilot,https://doi.org/10.14801/jkiit.2023.21.7.23,5,px4;autopilot,UNSCREENED - keyword triage only
14,arxiv:2505.00432,2025,arxiv,A Neural Network Mode for PX4 on Embedded Flight Controllers,https://arxiv.org/abs/2505.00432,5,px4;autopilot,UNSCREENED - keyword triage only
15,doi:10.36227/techrxiv.176287995.54551665/v1,2025,crossref,Activity-Aware Recovery from Network Communication Loss in Teleoperated Robotic Surgery,https://doi.org/10.36227/techrxiv.176287995.54551665/v1,5,recovery;communication loss,UNSCREENED - keyword triage only
16,doi:10.31224/4462,2025,crossref,Evaluation and Analysis of ArduPilot Automatic Tuning Algorithm for the Roll Tracking Controller of a Small UAS,https://doi.org/10.31224/4462,5,ardupilot;autopilot,UNSCREENED - keyword triage only
17,arxiv:2511.14116,2025,arxiv,FailSafe: High-performance Resilient Serving,https://arxiv.org/abs/2511.14116,5,failsafe;recovery,UNSCREENED - keyword triage only
